Name,Artist,Popularity,Valence,Energy,Tempo,Acousticness,Danceability,Duration,Instrumentalness,Liveness,Loudness,Speechiness,Mode,Album,year,period
afire love,ed sheeran,64.0,0.333,0.637,97.97,0.464,0.552,314280.0,1.63e-05,0.136,-6.568,0.0445,1.0,x (Deluxe Edition),2014.0,pre_ai
africa,weezer,67.0,0.6,0.784,92.147,0.205,0.534,238627.0,0.00579,0.106,-3.59,0.0339,1.0,Weezer (Teal Album),2018.0,post_ai
after midnight,blink,55.0,0.902,0.889,167.995,0.00642,0.541,206867.0,1.71e-05,0.02,-3.997,0.049,1.0,Neighborhoods (Deluxe Explicit Version),2011.0,pre_ai
again,faith evans,27.0,0.362,0.763,173.822,0.0158,0.489,198787.0,0.0,0.42,-6.077,0.24,1.0,The First Lady,2005.0,pre_ai
ai se eu te pego,michel telo,4.0,0.852,0.945,96.035,0.491,0.613,165625.0,0.0,0.907,-4.245,0.0896,1.0,Na Balada,2011.0,pre_ai
ain't i,yung l.a.,1.0,0.489,0.78,77.476,0.129,0.62,120653.0,0.0,0.408,-7.268,0.044,1.0,Crushin' The Block: DJ Dutty Laundry and The Senate DJs Present Yung LA,2008.0,pre_ai
ain't it fun,paramore,49.0,0.673,0.893,104.031,0.154,0.61,296520.0,4.41e-05,0.021,-3.681,0.0921,1.0,Paramore: Self-Titled Deluxe,2013.0,pre_ai
ain't it funny,jennifer lopez,40.0,0.615,0.871,99.842,0.091,0.709,245400.0,0.000438,0.105,-4.516,0.0468,0.0,J.Lo,2002.0,pre_ai
ain't leavin without you,jaheim,5.0,0.819,0.754,98.929,0.151,0.741,200613.0,0.0,0.265,-5.899,0.247,0.0,Another Round,2009.0,pre_ai
ain't no other man,christina aguilera,62.0,0.511,0.742,127.91,0.00376,0.862,228907.0,0.00855,0.103,-4.722,0.222,1.0,Back To Basics,2006.0,pre_ai
ain't worried about nothin,french montana,40.0,0.71,0.904,127.887,0.0229,0.688,212427.0,0.0,0.0909,-2.234,0.106,1.0,Excuse My French (Deluxe),2013.0,pre_ai
air force ones,nelly,10.0,0.816,0.785,82.027,0.0978,0.706,270827.0,0.0,0.054,-6.256,0.184,0.0,Da Derrty Versions: The Re-invention,2002.0,pre_ai
alcohol,brad paisley,44.0,0.576,0.79,141.694,0.393,0.541,291293.0,2.09e-06,0.17,-4.945,0.0327,1.0,Hits Alive,2005.0,pre_ai
alejandro,lady gaga,52.0,0.36,0.793,98.998,0.000397,0.623,274213.0,0.0015,0.375,-6.63,0.0462,0.0,The Fame Monster (Deluxe Edition),2010.0,pre_ai
alive,sia,38.0,0.444,0.762,99.963,0.254,0.508,263520.0,0.000122,0.108,-4.217,0.0489,0.0,This Is Acting (Deluxe Edition),2015.0,post_ai
all around me,flyleaf,62.0,0.47,0.871,146.975,0.0216,0.473,198507.0,0.0,0.0525,-4.893,0.0456,1.0,Flyleaf,2005.0,pre_ai
all around the world,justin bieber,25.0,0.775,0.816,127.958,0.019,0.689,244547.0,2.42e-06,0.181,-3.951,0.178,0.0,Believe (Deluxe Edition),2012.0,pre_ai
all bad,justin bieber,50.0,0.353,0.419,96.482,0.018,0.696,182747.0,0.0008,0.212,-8.198,0.0256,1.0,Journals,2013.0,pre_ai
all for you,janet,55.0,0.692,0.925,113.528,0.0178,0.752,330027.0,0.125,0.104,-3.288,0.0867,1.0,All For You,2001.0,pre_ai
all i ask,adele,71.0,0.343,0.283,141.961,0.882,0.587,271800.0,0.0,0.149,-5.473,0.0279,1.0,25,2015.0,post_ai
all i ask for anymore,trace adkins,4.0,0.291,0.391,129.912,0.113,0.498,237413.0,8.17e-06,0.0858,-8.526,0.0288,1.0,"Trace Adkins ""X""",2008.0,pre_ai
all i do is win,dj khaled,69.0,0.293,0.791,150.094,0.0104,0.549,227293.0,0.0,0.444,-3.535,0.133,1.0,Victory,2010.0,pre_ai
all i ever wanted,kelly clarkson,0.0,0.696,0.866,100.007,0.0103,0.633,239107.0,0.0,0.227,-3.633,0.0443,1.0,All I Ever Wanted,2009.0,pre_ai
all i want for christmas is you,michael buble,0.0,0.175,0.459,141.961,0.454,0.513,174085.0,0.0,0.102,-8.16,0.0258,0.0,Christmas,2011.0,pre_ai
