Name,Artist,Popularity,Valence,Energy,Tempo,Acousticness,Danceability,Duration,Instrumentalness,Liveness,Loudness,Speechiness,Mode,Album,year,RiaaStatus,Label,period
final fantasy,drake,65.0,0.104,0.448,144.204,0.422,0.5,219960.0,8.03e-06,0.115,-10.977,0.442,1,Scorpion,2018.0,,,post_ai
finesse,drake,69.0,0.298,0.32,94.99,0.133,0.807,182080.0,0.000328,0.101,-8.152,0.0582,0,Scorpion,2018.0,,,post_ai
fire & desire,drake,53.0,0.251,0.255,80.001,0.0797,0.711,238120.0,0.0,0.0869,-14.394,0.0851,0,Views,2016.0,1x Platinum,Cash Money / Young Money / Republic Records,post_ai
five more minutes,scotty mccreery,68.0,0.278,0.632,156.034,0.257,0.496,241147.0,1.07e-06,0.10900000000000001,-4.933,0.028199999999999996,1,Seasons Change,2017.0,1x Platinum,Triple Tigers Records,post_ai
foldin clothes,j. cole,61.0,0.6,0.496,162.039,0.218,0.713,316920.0,0.000237,0.0761,-10.045,0.311,0,4 Your Eyez Only,2016.0,,,post_ai
for the first time,darius rucker,66.0,0.666,0.804,142.016,0.00738,0.547,197053.0,0.0,0.0308,-5.268,0.0361,1,When Was The Last Time,2017.0,,,post_ai
for whom the bell tolls,j. cole,61.0,0.169,0.407,111.65,0.471,0.652,127880.0,0.0,0.294,-11.028,0.0354,0,4 Your Eyez Only,2016.0,,,post_ai
forever,rascal flatts,7.5,0.20350000000000001,0.6984999999999999,134.988,0.1415,0.4,256853.0,0.0,0.1125,-6.984999999999999,0.0359,1,Unstoppable,2016.0,,,post_ai
formation,beyonce,77.0,0.818,0.6209999999999999,121.966,0.00532,0.896,206080.0,0.0,0.196,-6.857,0.23699999999999996,0,Lemonade,2016.0,1x Platinum,Columbia,post_ai
free smoke,drake,66.0,0.208,0.492,141.953,0.0621,0.617,218674.0,0.0,0.484,-7.588,0.448,0,More Life,2017.0,1x Platinum,Young Money / Cash Money / Republic Records,post_ai
fresh eyes,andy grammer,71.0,0.872,0.56,122.05400000000002,0.548,0.828,198001.0,3.66e-05,0.15,-6.685,0.0327,1,The Good Parts,2016.0,1x Platinum,s-Curve Records,post_ai
galway girl,ed sheeran,81.0,0.781,0.876,99.943,0.0735,0.624,170827.0,0.0,0.327,-3.374,0.1,1,÷ (Deluxe),2017.0,1x Platinum,Atlantic Records,post_ai
gang gang,migos,63.0,0.515,0.601,180.046,0.272,0.635,181319.0,0.0,0.112,-9.837,0.144,1,Culture II,2018.0,,,post_ai
get along,kenny chesney,72.0,0.35,0.804,92.456,0.101,0.632,199625.0,0.0,0.17,-6.108999999999999,0.0503,1,Songs for the Saints,2018.0,1x Platinum,Blue Chair Records / Warner Bros Nashville,post_ai
