ranking,song,band_singer,titletext,year,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
4,Drops of Jupiter (Tell Me),Train,Drops of Jupiter (Tell Me),2001,0.481,0.638,-5.862,1.0,0.0276,0.153,0.0,0.154,0.497,79.064,259933.0
5,I'm Real,Jennifer Lopez,I'm Real,2001,0.708,0.587,-7.93,0.0,0.151,0.273,0.0,0.0718,0.554,83.46,262133.0
5,I'm Real,Ja Rule,I'm Real,2001,0.7000000000000001,0.631,-6.085,1.0,0.107,0.401,0.0,0.119,0.558,83.403,252933.0
6,If You're Gone,Matchbox Twenty,If You're Gone,2001,0.544,0.659,-7.191,1.0,0.0298,0.427,1.33e-06,0.126,0.361,109.933,274933.0
7,Let Me Blow Ya Mind,Eve,Let Me Blow Ya Mind,2001,0.908,0.557,-4.243,0.0,0.107,0.242,0.0,0.0709,0.897,90.032,230133.0
8,Thank You,Dido,Thank You,2001,0.725,0.583,-9.942,0.0,0.0427,0.3,0.0002379999999999,0.0665,0.762,79.984,218360.0
9,Again,Lenny Kravitz,Again,2001,0.55,0.804,-5.218,1.0,0.0271,0.0148,4.33e-05,0.105,0.789,79.166,231667.0
11,Hit 'Em Up Style (Oops!),Blu Cantrell,Hit 'Em Up Style (Oops!),2001,0.667,0.773,-4.983,0.0,0.0586,0.201,0.0,0.404,0.667,89.976,250707.0
12,It Wasn't Me,Shaggy,It Wasn't Me,2001,0.853,0.606,-4.596,1.0,0.0713,0.0561,0.0,0.313,0.654,94.759,227600.0
13,Stutter,Joe,Stutter,2001,0.767,0.759,-6.516,1.0,0.117,0.0513,0.0,0.31,0.677,89.989,213027.0
14,It's Been Awhile,Staind,It's Been Awhile,2001,0.425,0.8140000000000001,-5.105,1.0,0.0453,0.00112,0.0499,0.727,0.078,119.582,267347.0
15,U Remind Me,Usher,U Remind Me,2001,0.657,0.629,-4.938,1.0,0.0782,0.194,0.0,0.254,0.726,93.985,266893.0
16,Where the Party At,Jagged Edge,Where the Party At,2001,0.596,0.661,-6.239,0.0,0.226,0.31,0.0,0.0847,0.86,129.491,232573.0
17,Angel,Shaggy,Angel,2001,0.74,0.766,-2.939,1.0,0.178,0.116,0.0,0.0406,0.807,170.531,235133.0
17,Angel,Rayvon,Angel,2001,0.238,0.119,-13.6,0.0,0.038,0.955,0.00133,0.114,0.0626,80.639,225595.0
18,Ride wit Me,Nelly,Ride wit Me,2001,0.85,0.7000000000000001,-6.49,1.0,0.0478,0.0616,1.8e-06,0.244,0.722,101.875,291782.0
19,Follow Me,Uncle Kracker,Follow Me,2001,0.8170000000000001,0.585,-4.688,1.0,0.0301,0.439,0.0,0.147,0.916,105.014,218440.0
20,Peaches & Cream,112,Peaches & Cream,2001,0.706,0.537,-6.347,1.0,0.348,0.00887,0.0,0.129,0.775,203.746,225947.0
21,Drive,Incubus,Drive,2001,0.645,0.792,-7.34,0.0,0.036,0.0562,0.0121,0.119,0.666,90.565,232453.0
22,What Would You Do?,City High,What Would You Do?,2001,0.733,0.794,-6.909,1.0,0.223,0.259,0.0,0.483,0.8320000000000001,95.877,175560.0
24,Lady Marmalade,Christina Aguilera,Lady Marmalade,2001,0.754,0.811,-3.679,1.0,0.0561,0.0185,5.18e-06,0.654,0.639,109.902,267960.0
24,Lady Marmalade,Lil' Kim,Lady Marmalade,2001,0.876,0.398,-11.44,1.0,0.0366,0.00184,0.246,0.104,0.846,110.014,271581.0
24,Lady Marmalade,Mýa,Lady Marmalade,2001,0.876,0.398,-11.44,1.0,0.0366,0.00184,0.246,0.104,0.846,110.014,271581.0
24,Lady Marmalade,Pink,Lady Marmalade,2001,0.876,0.398,-11.44,1.0,0.0366,0.00184,0.246,0.104,0.846,110.014,271581.0
25,Ms. Jackson,Outkast,Ms. Jackson,2001,0.843,0.806,-5.946,0.0,0.269,0.143,0.0,0.0771,0.613,94.948,270507.0
26,Love Don't Cost a Thing,Jennifer Lopez,Love Don't Cost a Thing,2001,0.786,0.842,-5.115,0.0,0.0707,0.00305,3.54e-06,0.473,0.685,97.577,221227.0
27,The Way You Love Me,Faith Hill,The Way You Love Me,2001,0.627,0.716,-7.175,1.0,0.0352,0.127,0.0,0.0344,0.734,101.99,186067.0
28,He Loves U Not,Dream,He Loves U Not,2001,0.722,0.926,-5.849,1.0,0.209,0.0945,2.7e-06,0.128,0.605,155.898,226667.0
29,Butterfly,Crazy Town,Butterfly,2001,0.736,0.811,-4.17,0.0,0.081,0.00132,0.0001419999999999,0.107,0.609,103.502,216733.0
30,Put It on Me,Ja Rule,Put It on Me,2001,0.8310000000000001,0.79,-4.714,0.0,0.165,0.0024,0.0,0.0515,0.791,93.14,262827.0
30,Put It on Me,Vita,Put It on Me,2001,0.481,0.542,-7.62,1.0,0.363,0.0649,0.0,0.554,0.366,96.471,209164.0
31,Family Affair,Mary J. Blige,Family Affair,2001,0.911,0.551,-3.75,0.0,0.0449,0.132,4.12e-05,0.0863,0.969,92.887,265867.0
32,I Hope You Dance,Lee Ann Womack,I Hope You Dance,2001,0.385,0.443,-9.627,0.0,0.0295,0.0632,0.0,0.0898,0.275,151.278,294533.0
33,South Side,Moby,South Side,2001,0.611,0.724,-7.572,1.0,0.0421,0.0104,0.0452,0.0748,0.45,97.148,229733.0
33,South Side,Gwen Stefani,South Side,2001,0.523,0.489,-9.626,1.0,0.0332,0.00417,0.0815,0.0817,0.352,97.086,230322.0
34,Don't Tell Me,Madonna,Don't Tell Me,2001,0.6990000000000001,0.618,-7.338,1.0,0.0594,0.0502,0.0009249999999999,0.0914,0.679,99.965,280973.0
35,Get Ur Freak On,Missy Elliott,Get Ur Freak On,2001,0.797,0.75,-9.369,1.0,0.247,0.533,0.108,0.095,0.74,177.87,211120.0
36,Crazy,K-Ci & JoJo,Crazy,2001,0.677,0.648,-4.4,1.0,0.0259,0.0987,0.0,0.554,0.448,116.128,260267.0
37,Fill Me In,Craig David,Fill Me In,2001,0.682,0.744,-6.981,1.0,0.0365,0.376,0.00951,0.06,0.8270000000000001,132.493,257200.0
38,Someone to Call My Lover,Janet Jackson,Someone to Call My Lover,2001,0.738,0.914,-4.203,1.0,0.0434,0.144,0.00099,0.182,0.935,127.885,272360.0
39,With Arms Wide Open,Creed,With Arms Wide Open,2001,0.41,0.539,-8.412,1.0,0.0302,0.00425,0.00089,0.117,0.141,138.852,274800.0
40,Case of the Ex (Whatcha Gonna Do),Mýa,Case of the Ex (Whatcha Gonna Do),2001,0.774,0.684,-4.721,0.0,0.0408,0.0687,9.34e-05,0.0765,0.354,98.001,236827.0
41,All or Nothing,O-Town,All or Nothing,2001,0.641,0.453,-4.98,1.0,0.0281,0.262,0.0,0.284,0.216,126.872,248867.0
44,Kryptonite,3 Doors Down,Kryptonite,2001,0.545,0.865,-5.708,0.0,0.0286,0.00664,1.1e-05,0.168,0.543,99.009,233933.0
