Unnamed: 0,Acousticness,Album,Artist,Danceability,Duration,Energy,Instrumentalness,Liveness,Loudness,Mode,Name,Popularity,Speechiness,Tempo,Valence,year,period
77,0.516,Results May Vary,limp bizkit,0.595,269973,0.479,0.0,0.11,-6.665,1,behind blue eyes,18,0.027,120.324,0.0799,2003.0,pre_ai
25,0.000674,Start Something,lostprophets,0.485,275173,0.781,2.47e-06,0.254,-5.014,0,last train home,40,0.0301,102.372,0.188,2004.0,pre_ai
57,0.201,Damita Jo,janet jackson,0.645,252773,0.836,0.0207,0.156,-5.558,1,i want you,20,0.0382,105.741,0.681,2004.0,pre_ai
67,0.056,Damita Jo,janet jackson,0.771,253107,0.779,3.36e-05,0.0831,-3.571,1,just a little while,29,0.0629,135.1,0.972,2004.0,pre_ai
93,0.000172,Thirteenth Step,a perfect circle,0.483,195133,0.841,0.861,0.108,-7.494,0,weak and powerless,59,0.0523,159.747,0.129,2003.0,pre_ai
98,0.000111,Thirteenth Step,a perfect circle,0.328,246000,0.842,0.803,0.0496,-6.644,1,the outsider,65,0.0882,113.329,0.422,2003.0,pre_ai
69,0.0338,Overloaded,sugababes,0.791,218173,0.928,0.0,0.206,-5.057,0,hole in the head,33,0.0314,125.0,0.956,2003.0,pre_ai
2,0.41,Buddy Jewell,buddy jewell,0.495,212907,0.612,0.0,0.0974,-6.57,1,sweet southern comfort,0,0.0303,148.083,0.366,2003.0,pre_ai
59,0.155,Neighborhood Watch,dilated peoples,0.51,245827,0.863,2.93e-06,0.375,-4.56,0,this way,50,0.402,85.599,0.628,2004.0,pre_ai
17,0.33,Life For Rent,dido,0.512,240040,0.531,3.5e-06,0.0811,-6.789,1,white flag,6,0.0402,169.951,0.302,2003.0,pre_ai
33,0.284,No Angel,dido,0.722,217827,0.595,0.000538,0.0694,-9.928,0,thank you,12,0.0415,79.98,0.738,2000.0,pre_ai
54,0.0231,Mellow,maria mena,0.687,165000,0.584,0.0,0.146,-6.493,1,you're the only one,36,0.0326,123.956,0.524,2004.0,pre_ai
128,0.563,Seal IV,seal,0.577,274000,0.527,0.000191,0.114,-9.21,0,love's divine,50,0.0374,96.101,0.228,2003.0,pre_ai
129,0.0376,Seal IV,seal,0.636,224280,0.656,0.0,0.123,-4.88,1,waiting for you,24,0.0387,99.046,0.607,2003.0,pre_ai
161,0.256,Soulstar,musiq,0.697,229467,0.678,0.0,0.191,-7.133,0,forthenight,38,0.234,101.051,0.785,2003.0,pre_ai
163,0.19,Soulstar,musiq,0.407,295320,0.678,0.0,0.342,-6.135,1,whoknows,33,0.104,117.555,0.297,2004.0,pre_ai
51,0.367,Letters From Home,john michael montgomery,0.644,267533,0.626,5.78e-06,0.155,-7.243,1,letters from home,60,0.0258,128.029,0.388,2004.0,pre_ai
23,0.0103,One Love,kimberley locke,0.537,240733,0.758,0.0,0.131,-4.065,1,8th world wonder,33,0.0249,100.041,0.295,2004.0,pre_ai
84,0.0292,Live At Montreux 2012,alanis morissette,0.196,280720,0.88,0.0,0.951,-4.348,1,hands clean,1,0.0587,97.945,0.42,2002.0,pre_ai
8,0.358,Blue Skies,diana degarmo,0.551,229160,0.617,0.0,0.131,-5.709,1,dreams,8,0.0312,128.19,0.292,2004.0,pre_ai
18,0.0958,Amerikaz Nightmare,mobb deep,0.697,224627,0.744,0.0,0.263,-5.702,0,got it twisted,40,0.229,103.266,0.504,2004.0,pre_ai
23,0.221,Detroit Deli (A Taste Of Detroit),slum village,0.71,225400,0.597,0.0,0.432,-6.468,1,selfish,55,0.239,95.769,0.49,2004.0,pre_ai
253,0.0102,"Trinity (Past, Present And Future)",slum village,0.915,266960,0.442,1.62e-05,0.279,-6.321,0,tainted,46,0.226,92.81,0.65,2002.0,pre_ai
15,0.142,Julie Roberts,julie roberts,0.641,245493,0.485,0.0,0.0997,-8.127,1,break down here,50,0.0328,126.103,0.229,2004.0,pre_ai
17,0.103,Fearless,terri clark,0.629,188640,0.655,0.0,0.12,-3.798,1,a little gasoline,25,0.0302,76.7,0.764,2000.0,pre_ai
68,0.0656,Pain To Kill,terri clark,0.574,206400,0.897,0.0,0.304,-4.464,1,i just wanna be mad,43,0.0395,100.016,0.75,2002.0,pre_ai
72,0.0778,Pain To Kill,terri clark,0.632,173333,0.892,0.0,0.129,-4.722,1,i wanna do it all,41,0.0353,132.837,0.781,2003.0,pre_ai
161,0.00295,Hard Candy,counting crows,0.678,225573,0.866,0.0,0.16,-4.341,1,big yellow taxi,63,0.048,88.041,0.842,2002.0,pre_ai
36,0.211,Be Not Nobody,vanessa carlton,0.387,239200,0.649,0.0,0.282,-3.919,1,ordinary day,10,0.0289,185.458,0.403,2002.0,pre_ai
38,0.263,Be Not Nobody,vanessa carlton,0.573,237373,0.818,0.0,0.161,-4.469,1,a thousand miles,12,0.0355,94.933,0.309,2002.0,pre_ai
48,0.356,Harmonium,vanessa carlton,0.605,224547,0.589,0.0,0.0958,-7.418,1,white houses,5,0.0288,135.156,0.253,2004.0,pre_ai
34,0.000332,Hoobastank,hoobastank,0.466,176040,0.919,0.000137,0.0632,-4.588,0,crawling in the dark,21,0.116,187.106,0.661,2001.0,pre_ai
36,0.000984,Hoobastank,hoobastank,0.498,180067,0.809,2.44e-05,0.218,-5.388,0,running away,19,0.0423,100.415,0.512,2002.0,pre_ai
87,0.395,Los Lonely Boys,los lonely boys,0.664,226960,0.818,2.54e-06,0.0741,-6.364,1,heaven,13,0.0604,91.966,0.813,2004.0,pre_ai
103,0.0795,Restless,xzibit,0.936,255640,0.678,0.0,0.0838,-3.012,0,x,31,0.21,96.911,0.822,2000.0,pre_ai
1,6.06e-05,Crossfade,crossfade,0.451,194227,0.815,0.0,0.27,-5.55,0,cold,7,0.0368,147.974,0.618,2004.0,pre_ai
